"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Г.Оряховица","","","","1.04","",""
"Враца - ЖП Гара","","","","1.36","",""
"Видин 2","","","","1.37","",""
"Плевен","","","","1.12","",""
"Пловдив - Каменица","","","","1.4","",""
"Пловдив - ж.к. Тракия","","","","1.73","",""
"София - Надежда","","","","1.14","",""
"София - Хиподрума","","","","1.04","",""
"Гълъбово","1.36","","","","",""
